ESTACION,fecha,CLOROF_A,OD_mg/L_FON,P_TOT,TEMP_AGUA_FON
"LAGO DE CHAPALA, ESTACION LACUSTRE 01",01/09/2022,,7.57,,26
"LAGO DE CHAPALA, ESTACION LACUSTRE 01",12/12/2012,,7.93,0.4647,
"LAGO DE CHAPALA, ESTACION LACUSTRE 01",26/04/2013,125.8848,,0.5795,22.1
"LAGO DE CHAPALA, ESTACION LACUSTRE 01",21/09/2013,13.939,,0.5106,22.8
"LAGO DE CHAPALA, ESTACION LACUSTRE 01",26/02/2014,11.21,6.71,0.589,21.3
"LAGO DE CHAPALA, ESTACION LACUSTRE 01",03/09/2014,12.98,2.7,0.578,24.3
"LAGO DE CHAPALA, ESTACION LACUSTRE 01",08/04/2015,218.444,6.34,0.67735,23.4
"LAGO DE CHAPALA, ESTACION LACUSTRE 01",14/10/2015,9.9776,6.21,0.712066,24.5
"LAGO DE CHAPALA, ESTACION LACUSTRE 01",13/06/2016,9.871,,0.541578,
"LAGO DE CHAPALA, ESTACION LACUSTRE 01",06/10/2016,0.001,,0.487159,
"LAGO DE CHAPALA, ESTACION LACUSTRE 01",04/05/2017,1.9069,,0.457656,
"LAGO DE CHAPALA, ESTACION LACUSTRE 01",29/08/2017,0.001,,0.161155,
"LAGO DE CHAPALA, ESTACION LACUSTRE 01",06/02/2018,8.426,,0.376522,
"LAGO DE CHAPALA, ESTACION LACUSTRE 01",26/07/2018,0.001,,0.499212,
"LAGO DE CHAPALA, ESTACION LACUSTRE 01",01/11/2018,0.001,7.3,0.421558,22.7
"LAGO DE CHAPALA, ESTACION LACUSTRE 01",22/02/2019,0.001,6.8,0.438618,19.6
"LAGO DE CHAPALA, ESTACION LACUSTRE 01",18/08/2020,4.2864,6.54,0.349555,23.9
"LAGO DE CHAPALA, ESTACION LACUSTRE 01",14/10/2021,6.0604,7,0.468519,24.6
"LAGO DE CHAPALA, ESTACION LACUSTRE 08",28/12/2012,0.7802,,0.001,
"LAGO DE CHAPALA, ESTACION LACUSTRE 08",17/03/2013,0.001,,0.0305,17.6
"LAGO DE CHAPALA, ESTACION LACUSTRE 08",10/07/2013,,,0.0377,24.1
"LAGO DE CHAPALA, ESTACION LACUSTRE 08",18/07/2014,2.19,,0.642,
"LAGO DE CHAPALA, ESTACION LACUSTRE 08",20/08/2014,16.63,6.5,1.123,23
"LAGO DE CHAPALA, ESTACION LACUSTRE 08",22/04/2015,0.6506,3.09,0.6848,22.4
"LAGO DE CHAPALA, ESTACION LACUSTRE 08",19/08/2015,10.1752,6.15,0.902545,23.9
"LAGO DE CHAPALA, ESTACION LACUSTRE 08",13/06/2016,0.001,,0.537687,
"LAGO DE CHAPALA, ESTACION LACUSTRE 08",07/10/2016,2.7208,,0.644387,
"LAGO DE CHAPALA, ESTACION LACUSTRE 08",04/05/2017,0.9701,,0.499565,
"LAGO DE CHAPALA, ESTACION LACUSTRE 08",29/08/2017,0.001,,0.551381,
"LAGO DE CHAPALA, ESTACION LACUSTRE 08",06/02/2018,3.1268,,0.314723,
"LAGO DE CHAPALA, ESTACION LACUSTRE 08",26/07/2018,0.474,,0.513622,
"LAGO DE CHAPALA, ESTACION LACUSTRE 08",02/11/2018,0.001,6.4,0.455,20.9
"LAGO DE CHAPALA, ESTACION LACUSTRE 08",22/02/2019,0.001,6.64,0.456833,18.9
"LAGO DE CHAPALA, ESTACION LACUSTRE 08",18/08/2020,2.2436,6.78,0.344371,24.1
"LAGO DE CHAPALA, ESTACION LACUSTRE 08",14/10/2021,7.2816,8,0.455413,25.2
"LAGO DE CHAPALA, ESTACION LACUSTRE 07",31/08/2022,,7.54,,26
"LAGO DE CHAPALA, ESTACION LACUSTRE 07",22/11/2012,0.001,8.89,0.001,
"LAGO DE CHAPALA, ESTACION LACUSTRE 07",17/03/2013,0.001,,0.0196,17.7
"LAGO DE CHAPALA, ESTACION LACUSTRE 07",10/07/2013,,,0.0322,25.1
"LAGO DE CHAPALA, ESTACION LACUSTRE 07",18/07/2014,3.42,6.6,0.615,24.3
"LAGO DE CHAPALA, ESTACION LACUSTRE 07",21/08/2014,17.34,6.7,0.956,24.1
"LAGO DE CHAPALA, ESTACION LACUSTRE 07",22/04/2015,0.519,2.81,0.7659,22.2
"LAGO DE CHAPALA, ESTACION LACUSTRE 07",19/08/2015,12.0712,6.59,0.803008,24
"LAGO DE CHAPALA, ESTACION LACUSTRE 07",13/06/2016,10.187,,0.531227,
"LAGO DE CHAPALA, ESTACION LACUSTRE 07",07/10/2016,2.37,,0.517215,
"LAGO DE CHAPALA, ESTACION LACUSTRE 07",04/05/2017,1.2362,,0.409961,
"LAGO DE CHAPALA, ESTACION LACUSTRE 07",29/08/2017,0.001,,0.506934,
"LAGO DE CHAPALA, ESTACION LACUSTRE 07",06/02/2018,0.474,,0.30226,
"LAGO DE CHAPALA, ESTACION LACUSTRE 07",26/07/2018,0.001,,0.471481,
"LAGO DE CHAPALA, ESTACION LACUSTRE 07",02/11/2018,0.001,7.5,0.482384,20.5
"LAGO DE CHAPALA, ESTACION LACUSTRE 07",22/02/2019,0.001,6.54,0.407756,19
"LAGO DE CHAPALA, ESTACION LACUSTRE 07",18/08/2020,2.7144,6.8,0.32411,24.2
"LAGO DE CHAPALA, ESTACION LACUSTRE 07",14/10/2021,6.8756,7,0.431395,24.2
"LAGO DE CHAPALA, ESTACION LACUSTRE 06",26/08/2020,10.6016,3.25,1.222307,23.5
"LAGO DE CHAPALA, ESTACION LACUSTRE 06",22/11/2012,0.001,,0.001,
"LAGO DE CHAPALA, ESTACION LACUSTRE 06",17/03/2013,0.001,,0.0683,18
"LAGO DE CHAPALA, ESTACION LACUSTRE 06",10/07/2013,,,0.028,
"LAGO DE CHAPALA, ESTACION LACUSTRE 06",18/07/2014,3.84,6.8,0.611,25.5
"LAGO DE CHAPALA, ESTACION LACUSTRE 06",21/08/2014,16.5,6.8,0.968,25
"LAGO DE CHAPALA, ESTACION LACUSTRE 06",22/04/2015,1.212,2.96,0.5796,22.9
"LAGO DE CHAPALA, ESTACION LACUSTRE 06",19/08/2015,7.9252,6.63,0.722173,24
"LAGO DE CHAPALA, ESTACION LACUSTRE 06",13/06/2016,0.001,,0.529835,
"LAGO DE CHAPALA, ESTACION LACUSTRE 06",07/10/2016,2.37,,0.528682,
"LAGO DE CHAPALA, ESTACION LACUSTRE 06",04/05/2017,1.3791,,0.447878,
"LAGO DE CHAPALA, ESTACION LACUSTRE 06",05/09/2017,0.001,,0.493869,
"LAGO DE CHAPALA, ESTACION LACUSTRE 06",08/02/2018,0.001,,0.4714,
"LAGO DE CHAPALA, ESTACION LACUSTRE 06",29/07/2018,0.001,,0.483258,
"LAGO DE CHAPALA, ESTACION LACUSTRE 06",02/11/2018,0.001,7.2,0.378725,21.8
"LAGO DE CHAPALA, ESTACION LACUSTRE 06",22/02/2019,0.001,7.05,0.418938,19.2
"LAGO DE CHAPALA, ESTACION LACUSTRE 06",18/08/2020,3.1884,6.13,0.362858,23.7
"LAGO DE CHAPALA, ESTACION LACUSTRE 06",13/10/2021,13.2556,7.3,0.407144,25
"LAGO DE CHAPALA, ESTACION LACUSTRE 05",31/08/2022,,7.6,,25
"LAGO DE CHAPALA, ESTACION LACUSTRE 05",22/11/2012,0.001,5.8,0.001,
"LAGO DE CHAPALA, ESTACION LACUSTRE 05",09/03/2013,0.001,,0.667,24.1
"LAGO DE CHAPALA, ESTACION LACUSTRE 05",09/07/2013,,,0.0443,24.2
"LAGO DE CHAPALA, ESTACION LACUSTRE 05",18/07/2014,2.8,5,0.638,24.3
"LAGO DE CHAPALA, ESTACION LACUSTRE 05",21/04/2015,1.1183,3.84,0.6678,22.4
"LAGO DE CHAPALA, ESTACION LACUSTRE 05",19/08/2015,10.24,6.7,0.774792,23.5
"LAGO DE CHAPALA, ESTACION LACUSTRE 05",09/06/2016,0.001,,0.607616,
"LAGO DE CHAPALA, ESTACION LACUSTRE 05",06/10/2016,0.001,,0.741803,
"LAGO DE CHAPALA, ESTACION LACUSTRE 05",04/05/2017,1.2509,,0.462088,
"LAGO DE CHAPALA, ESTACION LACUSTRE 05",29/08/2017,0.001,,0.520696,
"LAGO DE CHAPALA, ESTACION LACUSTRE 05",06/02/2018,0.8832,4.4,0.472766,16.8
"LAGO DE CHAPALA, ESTACION LACUSTRE 05",26/07/2018,1.7664,2.4,0.48293,24.2
"LAGO DE CHAPALA, ESTACION LACUSTRE 05",01/11/2018,0.001,7.1,0.470521,22.1
"LAGO DE CHAPALA, ESTACION LACUSTRE 05",21/02/2019,0.001,6.29,0.406098,19.3
"LAGO DE CHAPALA, ESTACION LACUSTRE 05",19/08/2020,1.8312,6.72,0.425652,23.7
"LAGO DE CHAPALA, ESTACION LACUSTRE 05",14/10/2021,8.7748,6.9,0.524625,23
"LAGO DE CHAPALA, ESTACION LACUSTRE 10",31/08/2022,,,,
"LAGO DE CHAPALA, ESTACION LACUSTRE 10",22/11/2012,0.001,6.5,0.001,
"LAGO DE CHAPALA, ESTACION LACUSTRE 10",17/03/2013,0.001,,,18.7
"LAGO DE CHAPALA, ESTACION LACUSTRE 10",08/07/2013,,,0.0454,22.6
"LAGO DE CHAPALA, ESTACION LACUSTRE 10",17/07/2014,10.19,6.3,0.621,27.1
"LAGO DE CHAPALA, ESTACION LACUSTRE 10",19/08/2014,25.15,6.9,0.982,29.1
